Time(ms),MotorID,Phase,Direction,Position,Angle(deg),SensorA0,SensorA1,SensorA2
17838,2,Flex,>>,1150,101.1,358,323,449
17948,2,Flex,>>,1086,101.1,356,320,446
18057,2,Flex,>>,1022,97.41,354,319,442
18167,2,Flex,>>,958,91.87,354,321,443
18277,2,Flex,>>,894,86.33,356,319,444
18387,2,Flex,>>,830,80.62,354,319,443
18497,2,Flex,>>,766,74.99,355,324,443
18606,2,Flex,>>,702,69.54,354,320,444
18716,2,Flex,>>,638,63.82,354,319,443
18825,2,Flex,>>,574,58.37,355,321,442
18935,2,Flex,>>,510,52.75,353,318,443
19046,2,Flex,>>,446,47.03,354,320,445
19155,2,Flex,>>,382,41.67,354,320,442
19265,2,Flex,>>,318,36.13,353,318,445
19374,2,Flex,>>,254,30.59,353,320,444
19484,2,Flex,>>,190,24.97,356,322,446
19594,2,Flex,>>,126,19.34,354,315,442
19704,2,Flex,>>,62,14.07,355,320,449
19813,2,Flex,>>,-2,8.35,352,317,451
19923,2,Flex,>>,-66,2.73,352,318,460
20032,2,Flex,>>,-130,-2.81,355,319,461
20142,2,Flex,>>,-194,-8.35,356,320,466
20252,2,Flex,>>,-258,-13.89,355,323,471
20361,2,Flex,>>,-322,-19.34,359,326,476
20471,2,Flex,>>,-386,-25.05,361,328,481
20581,2,Flex,>>,-450,-30.51,361,332,484
20690,2,Flex,>>,-514,-36.04,370,340,493
20800,2,Flex,>>,-578,-41.67,376,351,511
20909,2,Flex,>>,-642,-47.21,378,355,519
21019,2,Flex,>>,-706,-52.75,380,361,526
21129,2,Flex,>>,-770,-58.29,385,367,532
21240,2,Flex,>>,-834,-63.74,394,373,541
21350,2,Flex,>>,-898,-69.19,404,375,547
21459,2,Flex,>>,-962,-74.64,414,380,551
21569,2,Flex,>>,-1026,-80.35,425,390,562
21679,2,Flex,>>,-1090,-86.07,425,407,582
21788,2,Flex,>>,-1154,-91.78,432,415,591
21898,2,Flex,>>,-1218,-97.41,437,418,599
22008,2,Flex,>>,-1282,-102.95,439,434,611
22117,2,Flex,>>,-1346,-108.57,446,447,619
22227,2,Flex,>>,-1410,-114.11,454,453,631
22336,2,Flex,>>,-1474,-119.65,462,457,630
22446,2,Flex,>>,-1538,-125.27,467,464,637
22556,2,Flex,>>,-1602,-130.73,470,479,649
22666,2,Flex,>>,-1666,-136.35,476,490,658
22776,2,Flex,>>,-1730,-141.89,486,505,670
22885,2,Flex,>>,-1794,-147.43,490,513,717
22996,2,Flex,>>,-1858,-153.14,500,518,739
23106,2,Flex,>>,-1922,-158.42,509,522,740
23216,2,Flex,>>,-1986,-163.87,518,531,700
23327,2,Flex,>>,-2050,-169.32,522,535,734
23436,2,Flex,>>,-2114,-174.51,535,538,706
23546,2,Flex,>>,-2178,-179.87,550,547,723
23656,2,Flex,>>,-2242,-185.05,555,549,723
23766,2,Flex,>>,-2306,-190.24,549,544,712
23875,2,Flex,>>,-2370,-195.34,552,545,710
23985,2,Flex,>>,-2434,-200.53,552,546,711
